serialNumber,name,itemCategory,goldKarat,goldWeightGrams,stockCount,description,photoUrl,diamondweight1,diamondpieces1,diamondweight2,diamondpieces2,diamondweight3,diamondpieces3,stonetype1,stonecarats1,stonepieces1,stonetype2,stonecarats2,stonepieces2,stonetype3,stonecarats3,stonepieces3
291,Diamond Ring,Ring,14k,3.04,1,,,0.59,0.59,,,,,,,,,,,,,
292,Diamond Ring,Ring,14k,3.826,1,,,0.62,0.62,,,,,,,,,,,,,
293,Diamond Ring,Ring,14k,3.486,1,,,0.87,0.87,,,,,,,,,,,,,
294,Diamond Ring,Ring,14k,6.332,1,,,1.04,1.04,,,,,,,,,,,,,
295,Diamond Ring,Ring,14k,3.764,1,,,0.68,0.68,,,,,,,,,,,,,
296,Diamond Ring,Ring,14k,3.976,1,,,1.32,1.32,,,,,,,,,,,,,
297,Diamond Ring,Ring,14k,4.55,1,,,0.75,0.75,,,,,,,,,,,,,
298,Diamond Ring,Ring,14k,2.368,1,,,0.26,0.26,,,,,,,,,,,,,
299,Diamond Ring,Ring,14k,2.984,1,,,0.73,0.73,,,,,,,,,,,,,
300,Diamond Ring,Ring,14k,1.894,1,,,0.43,0.43,,,,,,,,,,,,,
301,Diamond Ring,Ring,14k,3.358,1,,,0.51,0.51,,,,,,,,,,,,,
302,Diamond Ring,Ring,14k,2.58,1,,,0.26,0.26,0.09,1,,,,,,,,,,,
303,Diamond Ring,Ring,14k,3.75,1,,,0.1,0.1,,,,,,,,,,,,,
304,Diamond Ring,Ring,14k,4.216,1,,,0.5,0.5,,,,,,,,,,,,,
305,Diamond Ring,Ring,14k,3.828,1,,,0.95,0.95,,,,,Other,12.16,,,,,,,
306,Diamond Ring,Ring,14k,5.134,1,,,0.94,0.94,,,,,Other,11.04,,,,,,,
307,Diamond Ring,Ring,14k,3.91,1,,,0.5,0.5,,,,,Other,3.6,,,,,,,
308,Diamond Ring,Ring,14k,3.28,1,,,0.32,0.32,,,,,,,,Emerald,2.08,,,,
309,Diamond Ring,Ring,14k,4.386,1,,,0.72,0.72,,,,,,,,,,,,,
310,Diamond Ring,Ring,14k,2.292,1,,,0.34,0.34,,,,,,,,,,,,,
311,Diamond Ring,Ring,14k,2.516,1,,,0.25,0.25,,,,,,,,,,,,,
312,Diamond Ring,Ring,14k,2.414,1,,,0.28,0.28,,,,,,,,,,,,,
313,Diamond Ring,Ring,14k,3.744,1,,,1.03,1.03,,,,,,,,,,,,,
314,Diamond Ring,Ring,14k,3.212,1,,,0.44,0.44,,,,,,,,,,,,,
315,Diamond Ring,Ring,14k,2.538,1,,,0.31,0.31,,,,,,,,,,,,,
316,Diamond Ring,Ring,14k,3.506,1,,,0.27,0.27,,,,,,,,,,,,,
317,Diamond Ring,Ring,14k,2.182,1,,,0.13,0.13,,,,,,,,,,,,,
318,Diamond Ring,Ring,14k,4.594,1,,,1.05,1.05,0.08,1,,,,,,,,,,,
319,Diamond Ring,Ring,14k,3.954,1,,,1.07,1.07,,,,,,,,,,,,,
320,Diamond Ring,Ring,14k,2.332,1,,,0.39,0.39,,,,,,,,,,,,,
321,Diamond Ring,Ring,14k,3.176,1,,,0.37,0.37,,,,,,,,,,,,,
322,Diamond Ring,Ring,14k,5.49,1,,,0.95,0.95,,,,,Other,4.85,,,,,,,
323,Diamond Ring,Ring,14k,3.634,1,,,0.47,0.47,,,,,Other,6.51,,,,,,,
324,Diamond Ring,Ring,14k,3.128,1,,,0.66,0.66,,,,,Other,3.75,,,,,,,
325,Diamond Ring,Ring,14k,4.434,1,,,0.62,0.62,,,,,,,,,,,,,
326,Diamond Ring,Ring,14k,3.332,1,,,0.54,0.54,,,,,,,,,,,,,
327,Diamond Ring,Ring,14k,2.032,1,,,0.39,0.39,,,,,,,,,,,,,
328,Diamond Ring,Ring,14k,4.484,1,,,0.68,0.68,,,,,,,,,,,,,
329,Diamond Ring,Ring,14k,4.447,1,,,0.67,0.67,,,,,,,,,,,,,
330,Diamond Ring,Ring,14k,3.234,1,,,0.73,0.73,,,,,,,,,,,,,
331,Diamond Ring,Ring,14k,4.64,1,,,0.95,0.95,,,,,,,,,,,,,
332,Diamond Ring,Ring,14k,2.522,1,,,0.54,0.54,,,,,,,,,,,,,
333,Diamond Ring,Ring,14k,2.004,1,,,0.4,0.4,,,,,Other,1.68,,,,,,,
334,Diamond Ring,Ring,14k,1.626,1,,,0.27,0.27,,,,,,,,,,,,,
335,Diamond Ring,Ring,14k,2.684,1,,,0.43,0.43,,,,,,,,,,,,,
336,Diamond Ring,Ring,14k,1.898,1,,,,,,,,,,,,,,,,,
337,Diamond Ring,Ring,14k,3.442,1,,,0.54,0.54,,,,,,,,,,,,,
338,Diamond Ring,Ring,14k,2.952,1,,,0.49,0.49,,,,,,,,,,,,,
339,Diamond Ring,Ring,14k,2.554,1,,,0.48,0.48,,,,,,,,,,,,,
340,Diamond Ring,Ring,14k,1.77,1,,,0.1,0.1,,,,,,,,,,,,,
341,Diamond Ring,Ring,14k,1.264,1,,,0.23,0.23,,,,,,,,,,,,,
342,Diamond Ring,Ring,14k,1.64,1,,,0.15,0.15,,,,,,,,,,,,,
343,Diamond Ring,Ring,14k,1.746,1,,,0.22,0.22,,,,,,,,,,,,,
344,Diamond Ring,Ring,14k,1.974,1,,,0.13,0.13,,,,,,,,,,,,,
345,Diamond Ring,Ring,14k,2.394,1,,,0.13,0.13,,,,,,,,,,,,,
346,Diamond Ring,Ring,14k,1.708,1,,,0.16,0.16,,,,,,,,,,,,,
347,Diamond Ring,Ring,14k,5.43,1,,,,,1.55,10,,,,,,,,,,,
348,Diamond Ring,Ring,14k,2.73,1,,,0.85,0.85,,,,,,,,,,,,,
349,Diamond Ring,Ring,14k,2.6,1,,,0.29,0.29,,,,,,,,,,,,,
350,Diamond Ring,Ring,14k,5.158,1,,,,,1.76,10,,,,,,,,,,,
351,Diamond Ring,Ring,14k,2.98,1,,,0.5,0.5,,,,,,,,,,,,,
352,Diamond Ring,Ring,14k,2.836,1,,,0.57,0.57,,,,,,,,,,,,,
353,Diamond Ring,Ring,14k,2.942,1,,,0.64,0.64,,,,,,,,,,,,,
354,Diamond Ring,Ring,14k,3.168,1,,,0.51,0.51,,,,,,,,,,,,,
355,Diamond Ring,Ring,14k,3.284,1,,,1.19,1.19,0.09,1,,,,,,,,,,,
356,Diamond Ring,Ring,14k,2.998,1,,,0.81,0.81,,,,,,,,,,,,,
357,Diamond Ring,Ring,14k,2.226,1,,,0.44,0.44,0.08,1,,,,,,,,,,,
358,Diamond Ring,Ring,14k,3.71,1,,,0.58,0.58,,,,,,,,,,,,,
359,Diamond Ring,Ring,14k,2.604,1,,,0.76,0.76,0.07,1,,,,,,,,,,,
360,Diamond Ring,Ring,14k,3.858,1,,,0.86,0.86,,,,,,,,,,,,,
361,Diamond Ring,Ring,14k,2.25,1,,,0.65,0.65,,,,,,,,,,,,,
362,Diamond Ring,Ring,14k,1.494,1,,,0.18,0.18,,,,,,,,,,,,,
363,Diamond Ring,Ring,14k,1.15,1,,,0.15,0.15,,,,,,,,,,,,,
364,Diamond Ring,Ring,14k,2.518,1,,,0.4,0.4,,,,,,,,,,,Ruby,1.26,
